Relative Position,Position X,Position Y,ca-access-point,node14ap,ntua,\x00,ntuax,ntua,CNLab,CNLab,TestCN,ntuax,conference_room,TP-LINK_9FBBEF,TestCN,CNLab,ntuax,ntua,eduroam,Grafeio B.3.19,mlab1,TestCN,\x00,node19ap,ntua,NETMODE_2.4GHz,node20ap,ntua,TestCN,ntuax,ntua,CNLab,ntuax,MAC_Room,\x00,Emmanouella's Home,,CBS,awmn-240,GEOTUN,CNLab,,ntuax,ntua,\x00,ntuax,ntua
7,-1,15,-37,-40,-66,-57,-70,-66,-70,-83,-64,-82,-80,-90,-88,-87,-88,-86,-64,-87,-89,-82,-85,-61,-84,-55,-49,100,-61,-60,-61,-61,100,-88,100,-89,100,-89,-87,100,100,100,100,100,100,100,100
7,-1,15,-39,-41,-68,-59,-70,-66,-67,-83,-64,-82,-82,-90,-88,-87,-88,100,-67,-87,-89,-82,-85,-58,-84,-52,-49,100,-59,-59,-60,-60,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100
7,-1,15,-39,-41,-68,-59,-64,-61,-67,-79,-66,-79,-82,-90,-88,-87,-88,-89,-60,-87,-89,-79,-79,-58,-79,-57,-57,100,-61,-60,-60,-61,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100
7,-1,15,-36,-33,-63,-59,-64,-67,-67,-79,-66,-79,-82,-90,-88,-87,-88,-89,-65,-87,-89,-79,-79,-58,-79,-55,-57,100,-58,-62,-62,-58,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100
7,-1,15,-39,-31,-68,-59,-69,-70,-68,-79,-69,-79,-83,-90,-88,-87,-88,-89,-70,-87,-89,-80,-79,-59,-81,-59,-54,100,-63,-59,-63,-60,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100
7,-1,15,-37,-40,-68,-66,-65,-69,-68,-79,-65,-79,-82,-90,-88,-87,-88,-89,-69,-87,-89,-80,-79,-59,-81,-54,-58,100,-64,-68,-66,-67,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100
7,-1,15,-43,-34,-64,-66,-66,-63,-65,-79,-65,-79,-85,-90,-87,-87,-86,-85,-63,-87,-89,-80,-78,-61,-80,-57,-54,100,-61,-61,-61,-61,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100
7,-1,15,-41,-35,-64,-59,-67,-61,-72,-79,-70,-79,-80,-90,-87,-87,-86,-85,-61,-87,-89,-80,-78,-62,-80,-49,-54,100,-59,-58,-59,-60,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100
7,-1,15,-37,-31,-64,-59,-64,-65,-77,-77,-77,-81,-84,-90,-87,-87,-88,-85,-61,-87,-89,-79,-79,-58,-79,-53,-53,100,-63,-70,-63,-69,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100
7,-1,15,-47,-31,-68,-60,-65,-64,-68,-77,-68,-81,-80,-90,-87,-87,-88,-85,-64,-87,-89,-76,-79,-58,-76,-56,-55,100,-60,-61,-67,-67,100,100,100,100,100,-89,-87,100,100,100,100,100,100,100,100
7,-1,15,-42,-35,-69,-60,-68,-67,-68,-77,-72,-86,-82,-90,-87,-87,-88,-89,-67,-87,-89,-76,-81,-62,-81,-52,-51,100,-64,-59,-60,-60,100,100,100,100,100,-89,-86,100,100,100,100,100,100,100,100
7,-1,15,-44,-26,-68,-68,-68,-66,-73,-77,-74,-86,-79,-90,-87,-87,-88,-89,-66,-87,-89,-76,-81,-62,-81,-53,-56,100,-67,-68,-69,-68,100,100,100,100,100,-89,-86,100,100,100,100,100,100,100,100
7,-1,15,-41,-33,-65,-68,-66,-62,-73,-75,-63,-75,-80,-90,-87,-87,-88,-89,-62,-87,-89,-75,-75,-56,-75,-58,-50,100,-58,-59,-57,-57,100,100,100,100,100,-89,-86,100,100,100,100,100,100,100,100
7,-1,15,-42,-35,-66,-61,-66,-64,-66,-75,-68,-75,-84,-90,-87,-87,-88,-89,-64,-87,-89,-75,-75,-55,-75,-53,-55,100,-63,-60,-61,-61,100,100,100,100,100,-89,-86,100,100,100,100,100,100,100,100
8,0,15,-42,-39,-72,-61,-72,-63,-72,-81,-71,-78,-77,-90,-87,-84,-88,-86,-67,-87,-89,-80,-78,-58,-77,-58,-52,100,-63,-63,-62,-63,100,100,100,100,100,-89,-86,100,100,100,100,100,100,100,100
8,0,15,-39,-44,-67,-61,-65,-64,-73,-80,-73,-78,-75,100,-87,-84,-88,-86,-65,-87,100,-80,-78,-59,-77,-53,-52,100,-62,-63,-69,-63,100,100,100,100,100,-89,-86,100,100,100,100,100,100,100,100
8,0,15,-52,-38,-63,-61,-59,-67,-78,-80,-82,-78,-79,-86,-86,-84,-88,-86,-69,-87,100,-81,-82,-61,-82,-49,-56,100,-71,-68,-70,-69,100,100,100,100,100,-89,-86,100,100,100,100,100,100,100,100
8,0,15,-43,-33,-77,-64,-65,-59,-73,-80,-75,-78,-78,-86,-86,-84,-88,-86,-59,-87,100,-81,-82,-60,-82,-58,-54,100,-62,-62,-70,-69,100,100,100,100,100,-89,-86,100,100,100,100,100,100,100,100
8,0,15,-43,-33,-77,-64,-72,-64,-73,-76,-75,-76,-78,-86,-88,-87,-89,-86,-65,-87,100,-76,-75,-57,-75,-52,-50,100,-62,-68,-70,-69,100,100,100,100,100,-89,-86,100,100,100,100,100,100,100,100
8,0,15,-45,-35,-63,-60,-63,-64,-65,-76,-65,-76,-81,-86,-88,-87,-89,-86,-65,-87,100,-76,-75,-57,-75,-50,-51,100,-61,-60,-68,-61,100,100,100,100,100,-89,-86,100,100,100,100,100,100,100,100
8,0,15,-38,-32,-65,-60,-65,-63,-64,-78,-72,-82,-81,-85,-86,-87,-89,-86,-63,-87,100,-78,-78,-59,-78,-51,-50,100,-77,-68,-77,-68,100,100,100,100,100,-89,-86,100,100,100,100,100,100,100,100
8,0,15,-38,-67,-64,-60,-69,-61,-70,-81,-69,-82,-77,-85,-86,-87,-89,-86,-62,-87,100,-78,-78,-59,-78,-53,-55,100,-73,-71,-77,-77,100,100,100,100,100,-89,-86,100,100,100,100,100,100,100,100
8,0,15,-39,-77,-67,-60,-66,-60,-74,-81,-74,-77,-73,-85,-87,-88,-86,-87,-61,-87,100,-80,-79,-55,-78,-59,-53,100,-71,-64,-71,-64,100,100,100,100,100,-89,-86,100,100,100,100,100,100,100,100
8,0,15,-45,-76,-73,-60,-74,-61,-72,-76,-79,-77,-74,-85,-87,-88,-86,-87,-61,-87,100,-80,-79,-55,-78,-50,-55,100,-65,-63,-71,-64,100,100,100,100,100,-89,-86,100,100,100,100,100,100,100,100
8,0,15,-41,-36,-74,-60,-70,-62,-74,-76,-74,-77,-74,-85,-87,-88,-86,-90,-62,-87,100,-80,-78,-56,-77,-53,-55,100,-72,-65,-73,-65,100,100,100,100,100,-89,-86,100,100,100,100,100,100,100,100
8,0,15,-43,-36,-71,-60,-71,-63,-77,-76,-78,-77,-74,-85,-87,-88,-86,-90,-62,-87,-86,-76,-78,-56,-77,-55,-58,100,-71,-71,-73,-71,100,100,100,100,100,-89,-86,100,100,100,100,100,100,100,100
9,1,15,-46,-31,-73,-70,-77,-60,-69,-75,-77,-77,-79,-85,-87,-88,-86,-90,-66,-87,-86,-77,-78,-60,-76,-60,-51,100,-70,-71,-71,-70,100,100,100,100,100,-89,-86,100,100,100,100,100,100,100,100
9,1,15,-44,-36,-73,-70,-77,-59,-69,-74,-77,-75,-79,-85,-87,-88,-86,-90,-60,-87,-86,-74,-73,-63,-75,-52,-50,100,-70,-67,-70,-69,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,1,15,-43,-41,-73,-72,-77,-56,-77,-74,-77,-75,-79,-85,-87,-88,-86,-90,-58,-87,-86,-74,-73,-56,-75,-51,-51,100,-72,-73,-74,-74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,1,15,-41,-30,-73,-72,-77,-61,-77,-75,-77,-75,-74,-85,-87,-88,-86,-90,-60,-87,-86,-75,-75,-51,-75,-58,-54,100,-71,-68,-72,-67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,1,15,-39,-30,-78,-71,-77,-60,-72,-78,-73,-75,-83,-85,-87,-88,-86,-90,-60,-87,-86,-77,-75,-52,-75,-52,-50,100,-70,-68,-72,-70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,1,15,-47,-31,-78,-71,-77,-56,-72,-74,-71,-75,-79,-85,-86,-87,-87,-90,-56,-87,-86,-76,-75,-51,-75,-54,-50,100,-69,-64,-68,-65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,1,15,-44,-40,-75,-74,-77,-61,-72,-74,-71,-75,-82,-85,-86,-87,-87,-90,-60,-87,-86,-76,-75,-60,-75,-55,-52,100,-74,-74,-67,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,1,15,-43,-80,-76,-74,-76,-61,-74,-74,-73,-75,-72,-85,-86,-87,-87,-90,-60,-87,-86,-76,-81,-62,-81,-53,-52,100,-65,-77,-66,-76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,1,15,-67,-39,-76,-74,-76,-74,-74,-80,-74,-75,-72,-85,-86,-87,-87,-90,-65,-87,-86,-76,-81,-58,-81,-51,-50,100,-72,-65,-72,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,1,15,-37,-41,-74,-74,-75,-67,-72,-80,-72,-75,-72,-85,-86,-87,-87,-90,-65,-87,-86,-76,-71,-53,-71,-50,-50,100,-66,-67,-67,-67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,1,15,-46,-35,-72,-71,-72,-60,-76,-79,-76,-75,-78,-85,-86,-87,-87,-90,-65,-87,-86,-76,-71,-56,-71,-54,-52,100,-71,-70,-69,-70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,1,15,-45,-79,-72,-71,-72,-58,-76,-77,-76,-75,-78,-85,-86,-87,-87,-90,-58,-87,-86,-76,-76,-57,-76,-59,-54,100,-80,-75,-81,-79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,1,15,-48,-34,-77,-75,-77,-61,-75,-77,-75,-75,-81,-85,-86,-87,-87,-90,-61,-87,-86,-80,-76,-55,-76,-46,-56,100,-74,-74,-76,-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,1,15,-44,-30,-77,-75,-77,-57,-75,-77,-77,-75,-76,-85,-86,-87,-87,-88,-57,-87,-86,-80,-75,-54,-76,-55,-49,100,-74,-80,-76,-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10,2,15,-42,-33,-76,-70,-75,-56,-71,-77,-73,-75,-80,-84,-86,-87,-87,-88,-55,-87,-86,-80,-75,-60,-76,-57,-48,100,-69,-69,-69,-69,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10,2,15,-74,-34,-74,-70,-74,-60,-72,-77,-71,-79,-75,-81,-86,-87,-87,-88,-59,-87,100,-79,-80,-59,-79,-55,-48,100,-69,-72,-70,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10,2,15,-44,-37,-75,-75,-74,-56,-75,-77,-72,-79,-76,-81,-86,-87,-87,-88,-55,-87,100,-79,-80,-59,-79,-55,-49,100,-75,-75,-74,-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10,2,15,-46,-39,-75,-75,-74,-55,-78,-77,-72,-79,-73,-81,-86,-86,-87,-88,-55,-87,100,-79,-74,-58,-74,-55,-45,100,-76,-77,-75,-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10,2,15,-46,-37,-73,-73,-74,-51,-73,-74,-75,-79,-73,-81,-86,-86,-87,-88,-56,-87,100,-76,-74,-58,-74,-56,-45,100,-73,-74,-74,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10,2,15,-40,-41,-74,-73,-74,-53,-74,-74,-75,-79,-78,-82,-86,-86,-87,-86,-53,-87,100,-76,-77,-58,-76,-56,-53,100,-68,-69,-67,-67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10,2,15,-43,-35,-75,-69,-77,-56,-74,-74,-79,-79,-75,-82,-86,-86,-87,-86,-56,-87,100,-76,-77,-56,-76,-52,-51,100,-69,-69,-68,-69,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10,2,15,-37,-40,-75,-69,-75,-56,-74,-74,-75,-73,-75,-85,-86,-86,-85,-86,-57,-87,100,-71,-72,-58,-73,-51,-51,100,-67,-68,-64,-68,100,100,-72,100,100,100,100,100,100,100,100,100,100,100,100
10,2,15,-42,-32,-70,-71,-75,-63,-74,-74,-75,-73,-75,-85,-86,-86,-85,-87,-63,-87,100,-71,-72,-59,-73,-55,-51,100,-71,-72,-77,-71,100,100,-72,100,100,100,100,100,100,100,100,100,100,100,100
10,2,15,-36,-30,-70,-71,-72,-53,-76,-74,-75,-73,-75,-85,-86,-86,-85,-87,-53,-87,100,-78,-77,-61,-76,-52,-48,100,-68,-72,-68,-72,100,100,-72,100,100,100,100,100,100,100,100,100,100,100,100
10,2,15,-44,-32,-70,-69,-72,-57,-76,-75,-72,-73,-80,-85,-86,-86,-85,-87,-56,-87,100,-78,-77,-57,-76,-53,-49,100,-69,-66,-72,-69,100,100,-72,100,100,100,100,100,100,100,100,100,100,100,100
10,2,15,-45,-31,-74,-69,-74,-54,-73,-75,-74,-73,-76,-85,-86,-86,-88,-85,-54,-87,100,-74,-77,-59,-75,-53,-51,100,-67,-72,-67,-72,100,100,-72,100,100,100,100,100,100,100,100,100,100,100,100
10,2,15,-39,-30,-74,-67,-74,-56,-73,-75,-72,-73,-76,-85,-86,-86,-88,-85,-54,-87,100,-74,-77,-56,-75,-56,-51,100,-66,-67,-68,-66,100,100,-72,100,100,100,100,100,100,100,100,100,100,100,100
11,3,15,-49,-34,-72,-75,-74,-57,-76,-75,-76,-80,-77,-85,-86,-86,-88,-85,-57,-87,100,-80,-79,-59,-80,-58,-53,100,-76,-75,-75,-74,100,100,-72,100,100,100,100,100,100,100,100,100,100,100,100
11,3,15,-76,-78,-72,-75,-72,-53,-73,-75,-74,-80,-78,-85,-86,-87,-88,-85,-52,-87,100,-80,-80,-60,-80,-60,-53,100,-73,-73,-72,-71,100,100,-72,100,100,100,100,100,100,100,100,100,100,100,100
11,3,15,-44,-75,-72,-67,-72,-57,-75,-75,-74,-80,-81,-85,-86,-87,-88,-85,-57,-87,100,-80,-80,-61,-80,-54,-53,100,-68,-68,-68,-68,100,100,-72,100,100,100,100,100,100,100,100,100,100,100,100
11,3,15,-47,-34,-79,-67,-72,-60,-75,-69,-72,-69,-77,-85,-86,-87,-88,-85,-59,-87,100,-68,-69,-61,-78,-53,-47,100,-68,-62,-67,-64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
11,3,15,-42,-33,-74,-68,-73,-60,-74,-85,-74,-69,-75,-85,-86,-87,-88,-85,-59,-87,100,-76,-69,-58,-78,-57,-50,100,-66,-66,-70,-67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
11,3,15,-44,-30,-76,-68,-76,-55,-70,-85,-77,-69,-77,-85,-81,-87,-83,-82,-55,-87,100,-71,-71,-60,-71,-60,-50,100,-69,-66,-69,-65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
11,3,15,-45,-42,-73,-67,-73,-57,-70,-85,-72,-69,-78,-85,-81,-87,-83,-82,-57,-87,100,-71,-71,-60,-71,-53,-53,100,-68,-66,-66,-66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
11,3,15,-77,-77,-81,-67,-81,-64,-70,-77,-75,-76,-78,-85,-81,-87,-84,-82,-65,-87,100,-77,-77,-57,-76,-55,-49,100,-67,-61,-67,-61,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
11,3,15,-70,-75,-81,-65,-75,-56,-75,-76,-75,-76,-77,-85,-81,-87,-84,-82,-57,-87,100,-75,-77,-57,-76,-54,-47,100,-65,-64,-65,-65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
11,3,15,-44,-45,-74,-65,-74,-53,-74,-76,-77,-75,-77,-85,-84,-85,-86,-85,-51,-87,100,-76,-77,-56,-74,-59,-47,100,-66,-64,-66,-66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
11,3,15,-43,-32,-74,-69,-77,-55,-74,-78,-78,-75,-84,100,-84,-85,-86,-85,-57,-87,100,-76,-77,-59,-76,-58,-51,100,-70,-69,-69,-68,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
11,3,15,-44,-30,-79,-69,-77,-57,-74,-78,-74,-77,-84,-83,-85,-85,-86,-85,-57,-87,100,-75,-78,-64,-74,-59,-51,100,-68,-68,-69,-69,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
11,3,15,-46,-31,-72,-72,-73,-61,-81,-76,-80,-77,-75,-83,-85,-85,-86,-85,-61,-87,100,-74,-78,-59,-74,-55,-47,100,-73,-72,-72,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
11,3,15,-50,-42,-80,-72,-78,-59,-78,-76,-77,-79,-78,-83,-85,-85,-85,-86,-56,-87,100,-78,-79,-59,-78,-55,-50,100,-67,-70,-68,-68,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
11,3,15,-43,-39,-79,-69,-79,-58,-75,-80,-75,-79,-75,-83,-85,-85,-85,-86,-59,-87,100,-79,-79,-57,-78,-56,-48,100,-69,-69,-68,-68,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,4,15,-45,-78,-70,-69,-68,-66,-75,-79,-75,-80,-83,-83,-86,-85,-85,-86,-62,-87,100,-80,-79,-61,-76,-65,-53,100,-70,-70,-69,-70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,4,15,-47,-36,-69,-68,-70,-66,-76,-79,-75,-80,-84,-84,-86,-85,-85,-86,-62,-87,100,-80,-79,-61,-76,-58,-50,100,-66,-67,-69,-67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,4,15,-49,-79,-74,-68,-74,-59,-75,-79,-76,-80,-78,-84,-85,-86,-83,-86,-58,-87,100,-80,-78,-61,-76,-61,-54,100,-68,-67,-67,-68,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,4,15,-47,-36,-74,-68,-76,-59,-75,-79,-75,-80,-81,-84,-85,-86,-83,-86,-59,-87,100,-80,-78,-59,-76,-58,-55,100,-64,-65,-64,-65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,4,15,-46,-39,-74,-68,-76,-66,-78,-79,-75,-80,-81,-84,-86,-86,-86,-86,-66,-87,100,-80,-79,-65,-78,-65,-55,100,-72,-72,-71,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,4,15,-79,-44,-74,-65,-71,-62,-72,-79,-75,-80,-85,-84,-86,-86,-85,-86,-66,-87,100,-80,-79,-61,-78,-58,-53,100,-65,-66,-66,-65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,4,15,-43,-40,-72,-65,-71,-66,-72,-79,-75,-80,-82,-84,-83,-84,-84,-84,-65,-87,100,-80,-79,-63,-79,-58,-53,100,-67,-69,-68,-67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,4,15,-39,-38,-73,-69,-73,-68,-73,-79,-72,-80,-82,-84,-83,-82,-84,-84,-65,-87,100,-80,-79,-63,-79,-57,-52,100,-69,-69,-67,-69,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,4,15,-45,-38,-73,-69,-73,-60,-73,-79,-77,-80,-76,-84,-83,-82,-84,-84,-60,-87,100,-80,-81,-63,-81,-55,-51,100,-72,-75,-62,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,4,15,-42,-38,-80,-67,-73,-60,-73,-79,-77,-80,-80,-84,-83,-82,-84,-84,-60,-87,100,-80,-81,-67,-81,-55,-51,100,-69,-67,-69,-67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,4,15,-44,-38,-75,-67,-76,-57,-73,-81,-74,-80,-76,-84,-83,-82,-87,-84,-58,-87,100,-81,-79,-67,-79,-57,-53,100,-67,-66,-66,-67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,4,15,-44,-40,-75,-74,-74,-57,-73,-81,-80,-80,-78,-84,-83,-82,-87,-84,-58,-87,100,-81,-79,-67,-79,-64,-55,100,-74,-74,-73,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,4,15,-80,-45,-76,-74,-76,-57,-75,-81,-75,-80,-79,-84,-83,-87,-87,-84,-58,-87,100,-81,-79,-62,-80,-57,-51,100,-71,-75,-70,-74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
13,1.2,14,-43,-33,-69,-73,-76,-59,-67,-76,-76,-76,-79,-84,-83,-87,-89,-84,-65,-87,100,-78,-77,-56,-71,-50,-46,100,-70,-68,-70,-67,100,100,100,100,100,100,-86,100,-89,100,100,100,100,100,100
13,1.2,14,-43,-35,-69,-69,-76,-58,-67,-76,-76,-76,-78,100,100,100,-89,100,-60,-68,100,-78,-77,-56,-71,-52,-46,100,-70,-69,-69,-69,100,100,100,100,100,100,-87,100,-89,100,100,100,100,100,100
